Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Date	Party	Year	URL	Matchbegin corpus position	Matchend corpus position
534	c_1524259	on the commitments that were made at the 2012 high - level meeting . UK support is not just for	water and sanitation	services . We also support country , regional and global programmes to increase water security . These programmes address the	on_IN the_DT commitments_NNS that_WDT were_VBD made_VBN at_IN the_DT 2012_CD high_JJ -_HYPH level_NN meeting_NN ._. UK_NNP support_NN is_VBZ not_RB just_RB for_IN	water_NN and_CC sanitation_NN	services_NNS ._. We_PRP also_RB support_VBP country_NN ,_, regional_JJ and_CC global_JJ programmes_NNS to_TO increase_VB water_NN security_NN ._. These_DT programmes_NNS address_VBP the_DT	2014-03-11	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=533	325802207	325802209
535	c_1524259	development framework , which my right hon . Friend the Prime Minister chaired . It report proposed ambitious targets for	water and sanitation	services , and for water efficiency and waste water treatment . We will continue to work with our partners to	development_NN framework_NN ,_, which_WDT my_PRP$ right_JJ hon_NN ._. Friend_NN the_DT Prime_NNP Minister_NNP chaired_VBD ._. It_PRP report_NN proposed_VBD ambitious_JJ targets_NNS for_IN	water_NN and_CC sanitation_NN	services_NNS ,_, and_CC for_IN water_NN efficiency_NN and_CC waste_NN water_NN treatment_NN ._. We_PRP will_MD continue_VB to_TO work_VB with_IN our_PRP$ partners_NNS to_TO	2014-03-11	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=534	325802521	325802523
536	c_1524259	and for water efficiency and waste water treatment . We will continue to work with our partners to ensure that	water and sanitation	, including water resource management , feature prominently in the post -2015 framework . To that end , we will	and_CC for_IN water_NN efficiency_NN and_CC waste_NN water_NN treatment_NN ._. We_PRP will_MD continue_VB to_TO work_VB with_IN our_PRP$ partners_NNS to_TO ensure_VB that_IN	water_NN and_CC sanitation_NN	,_, including_VBG water_NN resource_NN management_NN ,_, feature_VB prominently_RB in_IN the_DT post_NN -2015_CD framework_NN ._. To_IN that_DT end_NN ,_, we_PRP will_MD	2014-03-11	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=535	325802546	325802548
537	c_1533966	people across Jordan , Lebanon , Iraq , Turkey and Egypt and provides food to 190,000 people , safe drinking	water and sanitation	services to more than 213,000 people and more than 71,000 medical consultations . The money is also delivering a range	people_NNS across_IN Jordan_NNP ,_, Lebanon_NNP ,_, Iraq_NNP ,_, Turkey_NNP and_CC Egypt_NNP and_CC provides_VBZ food_NN to_IN 190,000_CD people_NNS ,_, safe_JJ drinking_NN	water_NN and_CC sanitation_NN	services_NNS to_IN more_JJR than_IN 213,000_CD people_NNS and_CC more_JJR than_IN 71,000_CD medical_JJ consultations_NNS ._. The_DT money_NN is_VBZ also_RB delivering_VBG a_DT range_NN	2014-04-29	libdem	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=536	327771199	327771201
538	c_1537330	set out , we think that the licence fee , perhaps controlled parking zones , bus fares and possibly even	water and sanitation	services - directly provided services that consumers pay for and for which they therefore have a contract with the provider	set_VBN out_RP ,_, we_PRP think_VBP that_IN the_DT licence_NN fee_NN ,_, perhaps_RB controlled_VBN parking_NN zones_NNS ,_, bus_NN fares_NNS and_CC possibly_RB even_RB	water_NN and_CC sanitation_NN	services_NNS -_, directly_RB provided_VBN services_NNS that_WDT consumers_NNS pay_VBP for_IN and_CC for_IN which_WDT they_PRP therefore_RB have_VBP a_DT contract_NN with_IN the_DT provider_NN	2014-05-13	lab	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=537	328409272	328409274
539	c_1540486	provide Â£ 3 million of immediate assistance , including Â£ 2 million from the rapid response facility to NGOs for	water and sanitation	and other emergency relief and Â£l million to the United Nations High Commissioner for Refugees for mobile protection teams and	provide_VB Â£_$ 3_CD million_CD of_IN immediate_JJ assistance_NN ,_, including_VBG Â£_$ 2_CD million_CD from_IN the_DT rapid_JJ response_NN facility_NN to_IN NGOs_NNS for_IN	water_NN and_CC sanitation_NN	and_CC other_JJ emergency_NN relief_NN and_CC Â£l_NN million_CD to_IN the_DT United_NNP Nations_NNPS High_NNP Commissioner_NNP for_IN Refugees_NNPS for_IN mobile_JJ protection_NN teams_NNS and_CC	2014-06-16	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=538	329107515	329107517
540	c_1546911	communicable diseases . A holistic approach to health requires going beyond even universal health care coverage to include consideration of	water and sanitation	, inequality , housing and education , so it is clear that the challenges faced by the world in responding	communicable_JJ diseases_NNS ._. A_DT holistic_JJ approach_NN to_IN health_NN requires_VBZ going_VBG beyond_IN even_RB universal_JJ health_NN care_NN coverage_NN to_TO include_VB consideration_NN of_IN	water_NN and_CC sanitation_NN	,_, inequality_NN ,_, housing_NN and_CC education_NN ,_, so_RB it_PRP is_VBZ clear_JJ that_IN the_DT challenges_NNS faced_VBN by_IN the_DT world_NN in_IN responding_VBG	2014-07-08	lab	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=539	330441775	330441777
541	c_1547509	mechanism to non-governmental organisations in the region - the right hon . Lady asked about NGOs - to provide clean	water and sanitation	, essential medicine , women - friendly hygiene kits , basic household items , and a further Â£ 1 million	mechanism_NN to_IN non-governmental_JJ organisations_NNS in_IN the_DT region_NN -_, the_DT right_JJ hon_NN ._. Lady_NN asked_VBD about_IN NGOs_NNS -_, to_TO provide_VB clean_JJ	water_NN and_CC sanitation_NN	,_, essential_JJ medicine_NN ,_, women_NNS -_HYPH friendly_JJ hygiene_NN kits_NNS ,_, basic_JJ household_NN items_NNS ,_, and_CC a_DT further_JJ Â£_$ 1_CD million_CD	2014-07-09	libdem	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=540	330572065	330572067
542	c_1548318	they can live while we carry on this argument ? The hon . Lady asks a very good question on	water and sanitation	. I think that I pointed out in my statement that some of the aid that we supply through DFID	they_PRP can_MD live_VB while_IN we_PRP carry_VBP on_IN this_DT argument_NN ?_. The_DT hon_NN ._. Lady_NN asks_VBZ a_DT very_RB good_JJ question_NN on_IN	water_NN and_CC sanitation_NN	._. I_PRP think_VBP that_IN I_PRP pointed_VBD out_RP in_IN my_PRP$ statement_NN that_IN some_DT of_IN the_DT aid_NN that_WDT we_PRP supply_VBP through_IN DFID_NNP	2014-07-14	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=541	330706623	330706625
543	c_1548318	DFID and international agencies is absolutely to help with that , because there are several hundred thousand people without adequate	water and sanitation	. She is also right that the cycles of violence in Gaza are getting worse . Each one seems to	DFID_NNP and_CC international_JJ agencies_NNS is_VBZ absolutely_RB to_TO help_VB with_IN that_DT ,_, because_IN there_EX are_VBP several_JJ hundred_CD thousand_CD people_NNS without_IN adequate_JJ	water_NN and_CC sanitation_NN	._. She_PRP is_VBZ also_RB right_JJ that_IN the_DT cycles_NNS of_IN violence_NN in_IN Gaza_NNP are_VBP getting_VBG worse_JJR ._. Each_DT one_NN seems_VBZ to_TO	2014-07-14	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=542	330706665	330706667
544	c_1548329	, are an important component of future peace . The Foreign Secretary has already acknowledged the importance of access to	water and sanitation	. What assessment has he therefore made of reports that Israeli aircraft have been targeting water wells ? If they	,_, are_VBP an_DT important_JJ component_NN of_IN future_JJ peace_NN ._. The_DT Foreign_NNP Secretary_NNP has_VBZ already_RB acknowledged_VBN the_DT importance_NN of_IN access_NN to_IN	water_NN and_CC sanitation_NN	._. What_WDT assessment_NN has_VBZ he_PRP therefore_RB made_VBN of_IN reports_NNS that_IN Israeli_JJ aircraft_NN have_VBP been_VBN targeting_VBG water_NN wells_NNS ?_. If_IN they_PRP	2014-07-14	lab	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=543	330707677	330707679
545	c_1549478	Minister can indicate what help can be given in relation to health and hygiene and the prevailing issues of fresh	water and sanitation	. For those reasons I fully support the scheme , although I recognise the importance of conducting appropriate and necessary	Minister_NN can_MD indicate_VB what_WDT help_NN can_MD be_VB given_VBN in_IN relation_NN to_IN health_NN and_CC hygiene_NN and_CC the_DT prevailing_VBG issues_NNS of_IN fresh_JJ	water_NN and_CC sanitation_NN	._. For_IN those_DT reasons_NNS I_PRP fully_RB support_VBP the_DT scheme_NN ,_, although_IN I_PRP recognise_VBP the_DT importance_NN of_IN conducting_VBG appropriate_JJ and_CC necessary_JJ	2014-07-16	dup	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=544	330980207	330980209
546	c_1555012	health sector in Nepal for nearly 17 years ; it has contributed more than Â£ 19.7 million to the rural	water and sanitation	programme of the Gurkha welfare scheme since 1989 . In addition , its operational plan commits up to Â £	health_NN sector_NN in_IN Nepal_NNP for_IN nearly_RB 17_CD years_NNS ;_: it_PRP has_VBZ contributed_VBN more_JJR than_IN Â£_$ 19.7_CD million_CD to_IN the_DT rural_JJ	water_NN and_CC sanitation_NN	programme_NN of_IN the_DT Gurkha_NNP welfare_NN scheme_NN since_IN 1989_CD ._. In_IN addition_NN ,_, its_PRP$ operational_JJ plan_NN commits_VBZ up_RP to_IN Â_$ £_$	2014-09-11	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=545	332154250	332154252
547	c_1555277	focusing on here . This aid offers continuous support to recipient countries in the areas of education , health ,	water and sanitation	, government and civil society , economic infrastructure , economic production , debt relief and other things across many different	focusing_VBG on_IN here_RB ._. This_DT aid_NN offers_VBZ continuous_JJ support_NN to_IN recipient_NN countries_NNS in_IN the_DT areas_NNS of_IN education_NN ,_, health_NN ,_,	water_NN and_CC sanitation_NN	,_, government_NN and_CC civil_JJ society_NN ,_, economic_JJ infrastructure_NN ,_, economic_JJ production_NN ,_, debt_NN relief_NN and_CC other_JJ things_NNS across_IN many_JJ different_JJ	2014-09-12	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=546	332222425	332222427
548	c_1561403	a dire need for the block , as it was a big school and there were issues to do with	water and sanitation	, so DFID had addressed that . The head teacher proudly showed us the toilet block , with its accessible	a_DT dire_JJ need_NN for_IN the_DT block_NN ,_, as_IN it_PRP was_VBD a_DT big_JJ school_NN and_CC there_EX were_VBD issues_NNS to_TO do_VB with_IN	water_NN and_CC sanitation_NN	,_, so_RB DFID_NNP had_VBD addressed_VBN that_DT ._. The_DT head_NN teacher_NN proudly_RB showed_VBD us_PRP the_DT toilet_NN block_NN ,_, with_IN its_PRP$ accessible_JJ	2014-10-28	libdem	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=547	333370890	333370892
549	c_1563761	the disease . One problem in those communities is that they do not have clean water . We often have	water and sanitation	programmes in those countries . Can the Minister assure me that he is continuing those programmes to help to keep	the_DT disease_NN ._. One_CD problem_NN in_IN those_DT communities_NNS is_VBZ that_IN they_PRP do_VBP not_RB have_VB clean_JJ water_NN ._. We_PRP often_RB have_VBP	water_NN and_CC sanitation_NN	programmes_NNS in_IN those_DT countries_NNS ._. Can_MD the_DT Minister_NN assure_VB me_PRP that_IN he_PRP is_VBZ continuing_VBG those_DT programmes_NNS to_TO help_VB to_TO keep_VB	2014-11-05	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=548	333810002	333810004
550	c_1563762	because that is one of the key things they need to do ? My hon . Friend is right ;	water and sanitation	are important , and that will indeed be part of our emphasis . We are seeking to mobilise social change	because_IN that_DT is_VBZ one_CD of_IN the_DT key_JJ things_NNS they_PRP need_VBP to_TO do_VB ?_. My_PRP$ hon_NN ._. Friend_NN is_VBZ right_JJ ;_,	water_NN and_CC sanitation_NN	are_VBP important_JJ ,_, and_CC that_DT will_MD indeed_RB be_VB part_NN of_IN our_PRP$ emphasis_NN ._. We_PRP are_VBP seeking_VBG to_TO mobilise_VB social_JJ change_NN	2014-11-05	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=549	333810048	333810050
551	c_1569272	pursue it . It right that we pursue accessibility not just when dealing with schools , but when dealing with	water and sanitation	, so that disabled people have access . We are working closely with the Global Partnership for Education , UNICEF	pursue_VBP it_PRP ._. It_PRP right_JJ that_IN we_PRP pursue_VBP accessibility_NN not_RB just_RB when_WRB dealing_VBG with_IN schools_NNS ,_, but_CC when_WRB dealing_VBG with_IN	water_NN and_CC sanitation_NN	,_, so_IN that_IN disabled_JJ people_NNS have_VBP access_NN ._. We_PRP are_VBP working_VBG closely_RB with_IN the_DT Global_NNP Partnership_NNP for_IN Education_NNP ,_, UNICEF_NNP	2014-11-26	con	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=550	334813025	334813027
552	c_1574034	services and infrastructure that it helps support is fully accessible for people with disabilities , including schools , hospitals and	water and sanitation	facilities . That needs to go far beyond physical accessibility to ensure that all forms of communication and information are	services_NNS and_CC infrastructure_NN that_WDT it_PRP helps_VBZ support_NN is_VBZ fully_RB accessible_JJ for_IN people_NNS with_IN disabilities_NNS ,_, including_VBG schools_NNS ,_, hospitals_NNS and_CC	water_NN and_CC sanitation_NN	facilities_NNS ._. That_DT needs_VBZ to_TO go_VB far_RB beyond_IN physical_JJ accessibility_NN to_TO ensure_VB that_IN all_DT forms_NNS of_IN communication_NN and_CC information_NN are_VBP	2014-12-11	lab	2014	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=551	335811164	335811166
553	c_1579701	have personally never seen before ... appalling conditions ... wholly inadequate access to basic services including health , education ,	water and sanitation	. â€ What has changed ? As I said , I was the first western Minister to travel to Rakhine	have_VBP personally_RB never_RB seen_VBN before_RB ..._, appalling_JJ conditions_NNS ..._, wholly_RB inadequate_JJ access_NN to_IN basic_JJ services_NNS including_VBG health_NN ,_, education_NN ,_,	water_NN and_CC sanitation_NN	._. â€_NFP What_WP has_VBZ changed_VBN ?_. As_IN I_PRP said_VBD ,_, I_PRP was_VBD the_DT first_JJ western_JJ Minister_NN to_TO travel_VB to_IN Rakhine_NNP	2015-01-14	lab	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=552	336946251	336946253
554	c_1589781	with the scheduled power cuts of up to 18 hours a day , and basic services such as access to	water and sanitation	can best be described as dysfunctional . That already grim situation has been exacerbated by recent winter storms , which	with_IN the_DT scheduled_VBN power_NN cuts_NNS of_IN up_IN to_IN 18_CD hours_NNS a_DT day_NN ,_, and_CC basic_JJ services_NNS such_JJ as_IN access_NN to_IN	water_NN and_CC sanitation_NN	can_MD best_RBS be_VB described_VBN as_IN dysfunctional_JJ ._. That_DT already_RB grim_JJ situation_NN has_VBZ been_VBN exacerbated_VBN by_IN recent_JJ winter_NN storms_NNS ,_, which_WDT	2015-02-25	lab	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=553	339011096	339011098
555	c_1599086	than Â£9 million to support Burundian refugees in Tanzania , and those funds will help to provide essential shelter ,	water and sanitation	infrastructure , healthcare and food rations . Order . I understand the sense of anticipation but we must be able	than_IN Â£9_CD million_CD to_TO support_VB Burundian_JJ refugees_NNS in_IN Tanzania_NNP ,_, and_CC those_DT funds_NNS will_MD help_VB to_TO provide_VB essential_JJ shelter_NN ,_,	water_NN and_CC sanitation_NN	infrastructure_NN ,_, healthcare_NN and_CC food_NN rations_NNS ._. Order_NN ._. I_PRP understand_VBP the_DT sense_NN of_IN anticipation_NN but_CC we_PRP must_MD be_VB able_JJ	2015-06-03	con	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=554	341204973	341204975
556	c_1604542	the highest attainable standard of physical and mental health ; the special rapporteur on the human right to safe drinking	water and sanitation	; and the independent expert on the effects of foreign debt . China has also invited the UN High Commissioner	the_DT highest_JJS attainable_JJ standard_NN of_IN physical_JJ and_CC mental_JJ health_NN ;_: the_DT special_JJ rapporteur_NN on_IN the_DT human_JJ right_NN to_IN safe_JJ drinking_NN	water_NN and_CC sanitation_NN	;_: and_CC the_DT independent_JJ expert_NN on_IN the_DT effects_NNS of_IN foreign_JJ debt_NN ._. China_NNP has_VBZ also_RB invited_VBN the_DT UN_NNP High_NNP Commissioner_NNP	2015-06-18	con	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=555	342208006	342208008
557	c_1617113	an awful lot , for example , reducing child mortality and poverty , and improving access to education and to	water and sanitation	. We have heard about those things today . In the past 10 years or so , I have been	an_DT awful_JJ lot_NN ,_, for_IN example_NN ,_, reducing_VBG child_NN mortality_NN and_CC poverty_NN ,_, and_CC improving_VBG access_NN to_IN education_NN and_CC to_IN	water_NN and_CC sanitation_NN	._. We_PRP have_VBP heard_VBN about_IN those_DT things_NNS today_NN ._. In_IN the_DT past_JJ 10_CD years_NNS or_CC so_RB ,_, I_PRP have_VBP been_VBN	2015-09-10	con	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=556	344546946	344546948
558	c_1619588	: the cost of universal free education ; the cost of ending hunger ; and the cost of providing clean	water and sanitation	to everyone in the world who lives without that . The arms trade dwarfed all those other things . That	:_: the_DT cost_NN of_IN universal_JJ free_JJ education_NN ;_: the_DT cost_NN of_IN ending_VBG hunger_NN ;_: and_CC the_DT cost_NN of_IN providing_VBG clean_JJ	water_NN and_CC sanitation_NN	to_IN everyone_NN in_IN the_DT world_NN who_WP lives_VBZ without_IN that_DT ._. The_DT arms_NNS trade_NN dwarfed_VBD all_PDT those_DT other_JJ things_NNS ._. That_DT	2015-09-17	snp	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=557	345077681	345077683
559	c_1627999	- called informal tented settlements . That means that it has been far harder for us to put in place	water and sanitation	and to get education to the children in some of those camps than it otherwise would have been compared with	-_HYPH called_VBN informal_JJ tented_VBN settlements_NNS ._. That_DT means_VBZ that_IN it_PRP has_VBZ been_VBN far_RB harder_JJR for_IN us_PRP to_TO put_VB in_IN place_NN	water_NN and_CC sanitation_NN	and_CC to_TO get_VB education_NN to_IN the_DT children_NNS in_IN some_DT of_IN those_DT camps_NNS than_IN it_PRP otherwise_RB would_MD have_VB been_VBN compared_VBN with_IN	2015-11-03	con	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=558	346684985	346684987
560	c_1642074	Burmese democracy can flourish , as ours has . What assessment she has made of the quality and availability of	water and sanitation	facilities in Gaza . It is completely inadequate . Demand exceeds supply by a factor of four , and 96	Burmese_JJ democracy_NN can_MD flourish_VB ,_, as_IN ours_PRP has_VBZ ._. What_WDT assessment_NN she_PRP has_VBZ made_VBN of_IN the_DT quality_NN and_CC availability_NN of_IN	water_NN and_CC sanitation_NN	facilities_NNS in_IN Gaza_NNP ._. It_PRP is_VBZ completely_RB inadequate_JJ ._. Demand_NN exceeds_VBZ supply_NN by_IN a_DT factor_NN of_IN four_CD ,_, and_CC 96_CD	2015-12-16	lab	2015	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=559	349305844	349305846
561	c_1646260	disproportionately affects the poorest in society , because crowded living conditions , poor ventilation and lack of access to clean	water and sanitation	all contribute to increased susceptibility . Because it affects people with weakened immune systems , it is one of the	disproportionately_RB affects_VBZ the_DT poorest_JJS in_IN society_NN ,_, because_IN crowded_VBN living_NN conditions_NNS ,_, poor_JJ ventilation_NN and_CC lack_NN of_IN access_NN to_IN clean_JJ	water_NN and_CC sanitation_NN	all_DT contribute_VBP to_IN increased_VBN susceptibility_NN ._. Because_IN it_PRP affects_VBZ people_NNS with_IN weakened_VBN immune_NN systems_NNS ,_, it_PRP is_VBZ one_CD of_IN the_DT	2016-01-12	snp	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=560	350088632	350088634
562	c_1648146	to cover some of the things I have mentioned and for work in schools to make sure that issues of	water and sanitation	are understood and that the basic steps that can be taken at community level are put in place to minimise	to_TO cover_VB some_DT of_IN the_DT things_NNS I_PRP have_VBP mentioned_VBN and_CC for_IN work_NN in_IN schools_NNS to_TO make_VB sure_JJ that_IN issues_NNS of_IN	water_NN and_CC sanitation_NN	are_VBP understood_VBN and_CC that_IN the_DT basic_JJ steps_NNS that_WDT can_MD be_VB taken_VBN at_IN community_NN level_NN are_VBP put_VBN in_IN place_NN to_TO minimise_VB	2016-01-19	con	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=561	350475164	350475166
563	c_1655193	from the UK is already helping to provide food for people inside Syria every month , as well as clean	water and sanitation	for hundreds of thousands of refugees across the region . Our work on the Syria crisis gives people in the	from_IN the_DT UK_NNP is_VBZ already_RB helping_VBG to_TO provide_VB food_NN for_IN people_NNS inside_IN Syria_NNP every_DT month_NN ,_, as_RB well_RB as_IN clean_JJ	water_NN and_CC sanitation_NN	for_IN hundreds_NNS of_IN thousands_NNS of_IN refugees_NNS across_IN the_DT region_NN ._. Our_PRP$ work_NN on_IN the_DT Syria_NNP crisis_NN gives_VBZ people_NNS in_IN the_DT	2016-02-08	con	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=562	351864791	351864793
564	c_1659180	a great many countries , people living in poverty simply do not have adequate access to the healthcare , clean	water and sanitation	that we in the UK take for granted . As a result , they are even more vulnerable to malnutrition	a_DT great_JJ many_JJ countries_NNS ,_, people_NNS living_VBG in_IN poverty_NN simply_RB do_VBP not_RB have_VB adequate_JJ access_NN to_IN the_DT healthcare_NN ,_, clean_JJ	water_NN and_CC sanitation_NN	that_WDT we_PRP in_IN the_DT UK_NNP take_VBP for_IN granted_VBN ._. As_IN a_DT result_NN ,_, they_PRP are_VBP even_RB more_RBR vulnerable_JJ to_IN malnutrition_NN	2016-02-24	independent	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=563	352604912	352604914
565	c_1661439	own making . As the Secretary of State reported , UNHCR described crowding and shortages of food , shelter ,	water and sanitation	in Greece . I agree with her that , first , we need an emergency aid response , and the	own_JJ making_NN ._. As_IN the_DT Secretary_NNP of_IN State_NNP reported_VBD ,_, UNHCR_NNP described_VBD crowding_NN and_CC shortages_NNS of_IN food_NN ,_, shelter_NN ,_,	water_NN and_CC sanitation_NN	in_IN Greece_NNP ._. I_PRP agree_VBP with_IN her_PRP that_IN ,_, first_RB ,_, we_PRP need_VBP an_DT emergency_NN aid_NN response_NN ,_, and_CC the_DT	2016-03-02	snp	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=564	352989881	352989883
566	c_1673552	because they are a finite and precious resource . I beg to move , That this House has considered clean	water and sanitation	in Africa . It is a pleasure to speak in this debate . Let us be honest : Thursday is	because_IN they_PRP are_VBP a_DT finite_JJ and_CC precious_JJ resource_NN ._. I_PRP beg_VBP to_TO move_VB ,_, That_IN this_DT House_NNP has_VBZ considered_VBN clean_JJ	water_NN and_CC sanitation_NN	in_IN Africa_NNP ._. It_PRP is_VBZ a_DT pleasure_NN to_TO speak_VB in_IN this_DT debate_NN ._. Let_VB us_PRP be_VB honest_JJ :_: Thursday_NNP is_VBZ	2016-04-21	dup	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=565	355479895	355479897
567	c_1673552	development . The World Health Organisation has shown us the issue in economic terms . Every $ 1 invested in	water and sanitation	yields an economic return of $ 3 to $ 34 . More people have a mobile phone than have a	development_NN ._. The_DT World_NNP Health_NNP Organisation_NNP has_VBZ shown_VBN us_PRP the_DT issue_NN in_IN economic_JJ terms_NNS ._. Every_DT $_$ 1_CD invested_VBN in_IN	water_NN and_CC sanitation_NN	yields_VBZ an_DT economic_JJ return_NN of_IN $_$ 3_CD to_IN $_$ 34_CD ._. More_JJR people_NNS have_VBP a_DT mobile_JJ phone_NN than_IN have_VBP a_DT	2016-04-21	dup	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=566	355480739	355480741
568	c_1673554	to our attention . I will touch on those issues now , as they are vital . When we consider	water and sanitation	, we must consider disease as well . I want to underline some of the issues addressed by the all	to_IN our_PRP$ attention_NN ._. I_PRP will_MD touch_VB on_IN those_DT issues_NNS now_RB ,_, as_IN they_PRP are_VBP vital_JJ ._. When_WRB we_PRP consider_VBP	water_NN and_CC sanitation_NN	,_, we_PRP must_MD consider_VB disease_NN as_RB well_RB ._. I_PRP want_VBP to_TO underline_VB some_DT of_IN the_DT issues_NNS addressed_VBN by_IN the_DT all_DT	2016-04-21	dup	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=567	355481211	355481213
569	c_1673554	in hospitals . People can vaccinate and do all sorts of other things , but if they do not have	water and sanitation	, it is not going anywhere . The scale of the problem is massive . In 2014 , the lack	in_IN hospitals_NNS ._. People_NNS can_MD vaccinate_VB and_CC do_VB all_DT sorts_NNS of_IN other_JJ things_NNS ,_, but_CC if_IN they_PRP do_VBP not_RB have_VB	water_NN and_CC sanitation_NN	,_, it_PRP is_VBZ not_RB going_VBG anywhere_RB ._. The_DT scale_NN of_IN the_DT problem_NN is_VBZ massive_JJ ._. In_IN 2014_CD ,_, the_DT lack_NN	2016-04-21	dup	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=568	355481328	355481330
570	c_1673554	which was introduced by the WHO and UNICEF ? How do the Government intend to ensure thatâ€ œsustainable management of	water and sanitation	for allâ€ , as outlined in sustainable development goal 6 , is achieved ? What fall - back do they	which_WDT was_VBD introduced_VBN by_IN the_DT WHO_NNP and_CC UNICEF_NNP ?_. How_WRB do_VBP the_DT Government_NNP intend_VB to_TO ensure_VB thatâ€_JJ œsustainable_JJ management_NN of_IN	water_NN and_CC sanitation_NN	for_IN allâ€_NN ,_, as_IN outlined_VBN in_IN sustainable_JJ development_NN goal_NN 6_CD ,_, is_VBZ achieved_VBN ?_. What_WDT fall_NN -_HYPH back_RB do_VBP they_PRP	2016-04-21	dup	2016	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=569	355481803	355481805
